elements,limit,threads,time
100,4,2,0.000046
100,4,3,0.000094
100,4,6,0.000148
100,4,12,0.000150
100,4,24,0.000310
100,4,48,0.000474
100,10,2,0.000039
100,10,3,0.000043
100,10,6,0.000069
100,10,12,0.000098
100,10,24,0.000154
100,10,48,0.000172
100,100,2,0.000024
100,100,3,0.000024
100,100,6,0.000022
100,100,12,0.000022
100,100,24,0.000061
100,100,48,0.000086
100,1000,2,0.000028
100,1000,3,0.000025
100,1000,6,0.000023
100,1000,12,0.000024
100,1000,24,0.000055
100,1000,48,0.000082
100,10000,2,0.000026
100,10000,3,0.000024
100,10000,6,0.000025
100,10000,12,0.000024
100,10000,24,0.000053
100,10000,48,0.000093
10000,4,2,0.003092
10000,4,3,0.004325
10000,4,6,0.005752
10000,4,12,0.005529
10000,4,24,0.006712
10000,4,48,0.006950
10000,10,2,0.000770
10000,10,3,0.002208
10000,10,6,0.002208
10000,10,12,0.007216
10000,10,24,0.003085
10000,10,48,0.003303
10000,100,2,0.000415
10000,100,3,0.000415
10000,100,6,0.000415
10000,100,12,0.005435
10000,100,24,0.000653
10000,100,48,0.000967
10000,1000,2,0.000404
10000,1000,3,0.000304
10000,1000,6,0.000243
10000,1000,12,0.000214
10000,1000,24,0.000272
10000,1000,48,0.000332
10000,10000,2,0.000588
10000,10000,3,0.000597
10000,10000,6,0.000598
10000,10000,12,0.000615
10000,10000,24,0.000638
10000,10000,48,0.000681
100000,4,2,0.039671
100000,4,3,0.054185
100000,4,6,0.061802
100000,4,12,0.065817
100000,4,24,0.082863
100000,4,48,0.082227
100000,10,2,0.006772
100000,10,3,0.014635
100000,10,6,0.018786
100000,10,12,0.016813
100000,10,24,0.021439
100000,10,48,0.021908
100000,100,2,0.004213
100000,100,3,0.003206
100000,100,6,0.002445
100000,100,12,0.001707
100000,100,24,0.001889
100000,100,48,0.002741
100000,1000,2,0.003671
100000,1000,3,0.003053
100000,1000,6,0.001920
100000,1000,12,0.001423
100000,1000,24,0.001497
100000,1000,48,0.002208
100000,10000,2,0.003421
100000,10000,3,0.002859
100000,10000,6,0.002268
100000,10000,12,0.001360
100000,10000,24,0.001731
100000,10000,48,0.001816
1000000,10,2,0.151419
1000000,10,3,0.204941
1000000,10,6,0.269786
1000000,10,12,0.262469
1000000,10,24,0.331044
1000000,10,48,0.335206
1000000,100,2,0.047546
1000000,100,3,0.037904
1000000,100,6,0.027169
1000000,100,12,0.022138
1000000,100,24,0.026065
1000000,100,48,0.027738
1000000,1000,2,0.038773
1000000,1000,3,0.028876
1000000,1000,6,0.022773
1000000,1000,12,0.013444
1000000,1000,24,0.015861
1000000,1000,48,0.016061
1000000,10000,2,0.036778
1000000,10000,3,0.025918
1000000,10000,6,0.018424
1000000,10000,12,0.012778
1000000,10000,24,0.013233
1000000,10000,48,0.015103
10000000,10,2,1.233043
10000000,10,3,1.467092
10000000,10,6,1.881782
10000000,10,12,1.812042
10000000,10,24,2.286352
10000000,10,48,2.302481
10000000,100,2,0.518520
10000000,100,3,0.380546
10000000,100,6,0.318074
10000000,100,12,0.335313
10000000,100,24,0.396968
10000000,100,48,0.396493
10000000,1000,2,0.408057
10000000,1000,3,0.295448
10000000,1000,6,0.198728
10000000,1000,12,0.148347
10000000,1000,24,0.128373
10000000,1000,48,0.135441
10000000,10000,2,0.386066
10000000,10000,3,0.299090
10000000,10000,6,0.191262
10000000,10000,12,0.131836
10000000,10000,24,0.130089
10000000,10000,48,0.126812
